Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
UNFAO-LEG-366292,Lumpy skin disease,,37.366455,126.759494,"OB_127042 - 251-1, JEONGWANG-DONG, SIHEUNG-SI, GYEONGGI-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-27,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365926,Lumpy skin disease,,37.806008,127.171897,"101, Hanseong-gil, Soheul-eup, Pocheon-si, Gyeonggi-do",Republic of Korea,Asia,2023-10-27,2023-10-28,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366291,Lumpy skin disease,,36.738819,126.872163,"OB_127043 - 81-45, BEOTKKOT-RO 694BEON-GIL, DOGO-MYEON, ASAN-SI, CHUNGCHEONGNAM-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-27,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366294,Lumpy skin disease,,38.272405,128.1194,"OB_127040 - 226, OYUJEOSU-GIL, HAEAN-MYEON, YANGGU-GUN, GANGWON-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-27,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366749,Lumpy skin disease,,57.97232,53.772702,Gonka,Russian Federation,Europe,2023-10-27,2023-11-14,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366296,Lumpy skin disease,,37.130711,126.994883,"OB_127038 - 270-3, NAEHYANG-RO, JEONGNAM-MYEON, HWASEONG-SI, GYEONGGI-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-27,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366295,Lumpy skin disease,,36.683,126.416011,"OB_127039 - 485-1, JISAN-RI, BUSEOK-MYEON, SEOSAN-SI, CHUNGCHEONGNAM-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-27,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366293,Lumpy skin disease,,37.392252,127.560502,"OB_127041 - 19, DANGNAM 2-GIL, DAESIN-MYEON, YEOJU-SI, GYEONGGI-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-27,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365922,Lumpy skin disease,,37.814938,126.748441,"470, Wollongsan-ro, Tanhyeon-myeon, Paju-si, Gyeonggi-do",Republic of Korea,Asia,2023-10-26,2023-10-28,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365923,Lumpy skin disease,,37.959702,126.908441,"68-22, Malgupduri-gil, Jeokseong-myeon, Paju-si, Gyeonggi-do",Republic of Korea,Asia,2023-10-26,2023-10-28,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365924,Lumpy skin disease,,36.204263,127.025036,"105, Sutangwon-ro, Seongdong-myeon, Nonsan-si, Chungcheongnam-do",Republic of Korea,Asia,2023-10-26,2023-10-28,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365925,Lumpy skin disease,,36.812819,126.968483,"74-10, Yeomseong-ri, Yeomchi-eup, Asan-si, Chungcheongnam-do",Republic of Korea,Asia,2023-10-26,2023-10-28,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365914,Lumpy skin disease,,38.085883,127.015455,"950, Samgeo-ri, Gunnam-myeon, Yeoncheon-gun, Gyeonggi-do",Republic of Korea,Asia,2023-10-25,2023-10-27,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365915,Lumpy skin disease,,38.047613,127.06018,"144-21, Eundae-ro, Jeongok-eup, Yeoncheon-gun, Gyeonggi-do",Republic of Korea,Asia,2023-10-25,2023-10-27,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365916,Lumpy skin disease,,37.498383,128.1002,"25, Gyeonggang-ro jeonggeum 2-gil, Ucheon-myeon, Hoengseong-gun, Gangwon-do",Republic of Korea,Asia,2023-10-25,2023-10-27,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365917,Lumpy skin disease,,37.0547,126.767905,"43, Garoji-gil, Ujeong-eup, Hwaseong-si, Gyeonggi-do",Republic of Korea,Asia,2023-10-25,2023-10-27,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365918,Lumpy skin disease,,36.738166,126.416394,"76, Aejeong-gil, Inji-myeon, Seosan-si, Chungcheongnam-do",Republic of Korea,Asia,2023-10-25,2023-10-27,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365919,Lumpy skin disease,,37.794813,126.371544,"23-24, Seosa-gil 41beon-gil, Yangsa-myeon, Ganghwa-gun, Incheon",Republic of Korea,Asia,2023-10-25,2023-10-27,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365920,Lumpy skin disease,,37.755275,126.416438,"762-5, Samgeo-ri, Hajeom-myeon, Ganghwa-gun, Incheon",Republic of Korea,Asia,2023-10-25,2023-10-27,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365921,Lumpy skin disease,,37.77528,126.429091,"44-31, Jangjeongyango-gil, Hajeom-myeon, Ganghwa-gun,",Republic of Korea,Asia,2023-10-25,2023-10-27,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366143,Lumpy skin disease,,32.842265,21.521516,Albayda,Libya,Africa,2023-10-25,2023-11-02,Domestic - Cattle,WOAH (former OIE),,,Confirmed
UNFAO-LEG-366531,Lumpy skin disease,,15.130649,102.65605,Nakhon Ratchasima,Thailand,Asia,2023-10-25,2023-11-09,Domestic - Cattle,WOAH (former OIE),,,Confirmed
UNFAO-LEG-365909,Lumpy skin disease,,35.682438,126.760238,"201-57, Sinjuk-ro, Baeksan-myeon, Buan-gun, Jeollabuk-do",Republic of Korea,Asia,2023-10-24,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365910,Lumpy skin disease,,37.606269,126.566202,"522-46, Yagam-ro, Daegot-myeon, Gimpo-si, Gyeonggi-do",Republic of Korea,Asia,2023-10-24,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365911,Lumpy skin disease,,37.066369,126.781302,"50-3, Bambachirwon-gil, Ujeong-eup, Hwaseong-si, Gyeonggi-do",Republic of Korea,Asia,2023-10-24,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365912,Lumpy skin disease,,37.129344,127.054363,"108-72, Yamak-gil, Jinwi-myeon, Pyeongtaek-si, Gyeonggi-do",Republic of Korea,Asia,2023-10-24,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365913,Lumpy skin disease,,37.749658,126.615613,"84, Gageum-ro 227beon-gil, Haseong-myeon, Gimpo-si, Gyeonggi-do",Republic of Korea,Asia,2023-10-24,2023-10-27,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365927,Lumpy skin disease,,37.12,126.77,"535, Pyeongbat-gil, Ujeong-eup, Hwaseong-si, Gyeonggi-do",Republic of Korea,Asia,2023-10-24,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365904,Lumpy skin disease,,36.57138,126.491755,"178-1, Geocha-ri, Seobu-myeon, Hongseong-gun, Chungcheongnam-do",Republic of Korea,Asia,2023-10-24,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365906,Lumpy skin disease,,37.787913,126.4555,"303-64, Jeonmangdae-ro, Songhae-myeon, Ganghwa-gun, Incheon",Republic of Korea,Asia,2023-10-24,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365905,Lumpy skin disease,,37.116155,126.773105,"61-13, Bonggok 1-gil, Ujeong-eup, Hwaseong-si, Gyeonggi-do",Republic of Korea,Asia,2023-10-24,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365907,Lumpy skin disease,,36.673652,126.399255,"926-5, Gangdang-ri, Buseok-myeon, Seosan-si, Chungcheongnam-do",Republic of Korea,Asia,2023-10-24,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365908,Lumpy skin disease,,36.855958,126.7675,"1-81, Mandongpo-ro, Sinpyeong-myeon, Dangjin-si, Chungcheongnam-do",Republic of Korea,Asia,2023-10-24,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366144,Lumpy skin disease,,32.842265,21.521516,Albayda,Libya,Africa,2023-10-24,2023-11-02,Domestic - Cattle,WOAH (former OIE),,,Confirmed
UNFAO-LEG-365892,Lumpy skin disease,,37.218425,126.723886,"226-21, Songsanpodo-ro, Songsan-myeon, Hwaseong-si, Gyeonggi-do",Republic of Korea,Asia,2023-10-23,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365893,Lumpy skin disease,,36.665158,126.413727,"67-6, Sieoji-gil, Buseok-myeon, Seosan-si, Chungcheongnam-do",Republic of Korea,Asia,2023-10-23,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365894,Lumpy skin disease,,36.871591,126.772041,"330-10, Mandongpo-ro, Sinpyeong-myeon, Dangjin-si, Chungcheongnam-do",Republic of Korea,Asia,2023-10-23,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365895,Lumpy skin disease,,36.861511,126.766563,"854, Namsan-ri, Sinpyeong-myeon, Dangjin-si, Chungcheongnam-do",Republic of Korea,Asia,2023-10-23,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365896,Lumpy skin disease,,36.870933,126.775405,"854, Namsan-ri, Sinpyeong-myeon, Dangjin-si, Chungcheongnam-do",Republic of Korea,Asia,2023-10-23,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365897,Lumpy skin disease,,36.838361,126.764716,"494-7, Bolli-ro, Sunseong-myeon, Dangjin-si, Chungcheongnam-do",Republic of Korea,Asia,2023-10-23,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365898,Lumpy skin disease,,37.327564,127.013501,"28, Gwanggyosan-ro 509beon-gil, Jangan-gu, Suwon-si, Gyeonggi-do",Republic of Korea,Asia,2023-10-23,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365899,Lumpy skin disease,,37.629455,126.408363,"7-36, Angol-gil, Hwado-myeon, Ganghwa-gun, Incheon",Republic of Korea,Asia,2023-10-23,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365900,Lumpy skin disease,,37.801605,126.390163,"204-2, Gyosan-ri, Yangsa-myeon, Ganghwa-gun, Incheon",Republic of Korea,Asia,2023-10-23,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365901,Lumpy skin disease,,37.779772,126.395863,"1003-8, Ganghwaseo-ro, Hajeom-myeon, Ganghwa-gun, Incheon",Republic of Korea,Asia,2023-10-23,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365903,Lumpy skin disease,,36.684625,126.410291,"374-6, Bongnakjisan-gil, Buseok-myeon, Seosan-si, Chungcheongnam-do",Republic of Korea,Asia,2023-10-23,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365902,Lumpy skin disease,,38.057969,128.01453,"319-31, Yangnam-ro, Guktojeongjungang-myeon, Yanggu-gun, Gangwon-do",Republic of Korea,Asia,2023-10-23,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365890,Lumpy skin disease,,37.103297,127.0117,"291-169, Jeongmunhoehwa-ro, Seotan-myeon, Pyeongtaek-si, Gyeonggi-do",Republic of Korea,Asia,2023-10-22,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365891,Lumpy skin disease,,37.115341,126.788505,"49, Gurwonan-gil, Ujeong-eup, Hwaseong-si, Gyeonggi-do",Republic of Korea,Asia,2023-10-22,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365888,Lumpy skin disease,,36.663986,126.412833,"244, Injeong-ro, Buseok-myeon, Seosan-si, Chungcheongnam-do",Republic of Korea,Asia,2023-10-22,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365887,Lumpy skin disease,,37.749127,126.614631,"370, Gageum-ri, Haseong-myeon, Gimpo-si, Gyeonggi-do",Republic of Korea,Asia,2023-10-22,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365579,Lumpy skin disease,,36.865669,127.642916,"35-1, Baengmaryeong-gil 287beon-gil, Wonnam-myeon, Eumseong-gun, Chungcheongbuk-do",Republic of Korea,Asia,2023-10-22,2023-10-25,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365889,Lumpy skin disease,,36.86598,126.787994,"104-18, Sinnam-gil, Sinpyeong-myeon, Dangjin-si, Chungcheongnam-do",Republic of Korea,Asia,2023-10-22,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365580,Lumpy skin disease,,37.0109814,126.879741,"377-49, Poseungjangan-ro, Poseung-eup, Pyeongtaek-si, Gyeonggi-do, Republic of Korea",Republic of Korea,Asia,2023-10-21,2023-10-25,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365885,Lumpy skin disease,,36.680193,126.418639,"528-23, Jisan-ri, Buseok-myeon, Seosan-si, Chungcheongnam-do",Republic of Korea,Asia,2023-10-21,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365578,Lumpy skin disease,,36.950291,126.300984,"451, Nae-ri, Iwon-myeon, Taean-gun, Chungcheongnam-do, Republic of Korea",Republic of Korea,Asia,2023-10-21,2023-10-25,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-365886,Lumpy skin disease,,36.684021,126.410924,"384, Bongnakjisan-gil, Buseok-myeon, Seosan-si, Chungcheongnam-do",Republic of Korea,Asia,2023-10-21,2023-10-26,Domestic - Cattle,National authorities,,,Confirmed
