case_id,country,disease_type,report_date,latitude,longitude,species
554,Republic of Korea,LSD,2023-11-20,35.452438,126.593063,Domestic - Cattle
555,Republic of Korea,LSD,2023-11-20,35.419677,126.595286,Domestic - Cattle
556,Republic of Korea,LSD,2023-11-20,36.328669,126.970886,Domestic - Cattle
557,Russian Federation,LSD,2023-11-20,53.7513,91.3326,Domestic - Cattle
558,Republic of Korea,LSD,2023-11-20,35.486716,126.493016,Domestic - Cattle
559,Republic of Korea,LSD,2023-11-20,36.091016,128.15583,Domestic - Cattle
560,Republic of Korea,LSD,2023-11-20,36.723927,127.473913,Domestic - Cattle
561,Republic of Korea,LSD,2023-11-20,35.423286,126.568138,Domestic - Cattle
562,Republic of Korea,LSD,2023-11-20,35.513247,126.518419,Domestic - Cattle
563,Russian Federation,LSD,2023-11-20,54.36346,90.980977,Domestic - Cattle
564,Republic of Korea,LSD,2023-11-20,35.513888,126.52223,Domestic - Cattle
565,Republic of Korea,LSD,2023-11-20,35.46048,126.45383,Domestic - Cattle
566,Republic of Korea,LSD,2023-11-20,37.005594,127.792022,Domestic - Cattle
567,Republic of Korea,LSD,2023-11-20,36.713616,126.8026,Domestic - Cattle
568,Republic of Korea,LSD,2023-11-20,35.492219,126.507441,Domestic - Cattle
569,Republic of Korea,LSD,2023-11-13,36.72475,126.42818,Domestic - Cattle
570,Republic of Korea,LSD,2023-11-13,36.748441,126.426213,Domestic - Cattle
571,Republic of Korea,LSD,2023-11-13,35.496638,126.473111,Domestic - Cattle
572,Republic of Korea,LSD,2023-11-13,36.339663,126.97223,Domestic - Cattle
573,Republic of Korea,LSD,2023-11-13,38.386583,128.414411,Domestic - Cattle
574,Republic of Korea,LSD,2023-11-13,36.97,126.45,Domestic - Cattle
575,Republic of Korea,LSD,2023-11-13,36.664975,126.38475,Domestic - Cattle
576,Republic of Korea,LSD,2023-11-13,36.915669,126.56808,Domestic - Cattle
577,Republic of Korea,LSD,2023-11-13,37.009813,127.788708,Domestic - Cattle
578,Republic of Korea,LSD,2023-11-13,36.919191,126.564711,Domestic - Cattle
579,Republic of Korea,LSD,2023-11-13,36.860116,126.793777,Domestic - Cattle
580,Republic of Korea,LSD,2023-11-13,37.689786,126.410686,Domestic - Cattle
581,Republic of Korea,LSD,2023-11-13,36.702655,126.437166,Domestic - Cattle
582,Republic of Korea,LSD,2023-11-06,36.886892,126.419786,Domestic - Cattle
583,Russian Federation,LSD,2023-11-10,50.65243,93.735736,Domestic - Cattle
584,Republic of Korea,LSD,2023-11-06,36.70333,126.436791,Domestic - Cattle
585,Republic of Korea,LSD,2023-11-06,36.651016,126.486336,Domestic - Cattle
586,Republic of Korea,LSD,2023-11-06,36.72965,126.400108,Domestic - Cattle
587,Republic of Korea,LSD,2023-11-06,36.828191,126.787055,Domestic - Cattle
588,Republic of Korea,LSD,2023-11-06,35.081161,126.084902,Domestic - Cattle
589,Republic of Korea,LSD,2023-11-06,35.550838,126.65,Domestic - Cattle
590,Republic of Korea,LSD,2023-11-06,37.694927,126.487247,Domestic - Cattle
591,Republic of Korea,LSD,2023-11-06,38.008852,127.214541,Domestic - Cattle
592,Republic of Korea,LSD,2023-11-06,37.775575,127.214541,Domestic - Cattle
593,Republic of Korea,LSD,2023-11-06,35.343519,128.688077,Domestic - Cattle
594,Republic of Korea,LSD,2023-11-06,38.209355,127.290158,Domestic - Cattle
595,Republic of Korea,LSD,2023-11-06,35.493913,126.501605,Domestic - Cattle
596,Republic of Korea,LSD,2023-11-06,36.971688,126.613877,Domestic - Cattle
597,Republic of Korea,LSD,2023-11-06,38.079483,127.019591,Domestic - Cattle
598,Republic of Korea,LSD,2023-11-06,35.002777,126.400605,Domestic - Cattle
599,Republic of Korea,LSD,2023-11-06,38.307461,128.527322,Domestic - Cattle
600,Republic of Korea,LSD,2023-11-06,37.366455,126.759494,Domestic - Cattle
601,Republic of Korea,LSD,2023-10-28,37.806008,127.171897,Domestic - Cattle
602,Republic of Korea,LSD,2023-11-06,36.738819,126.872163,Domestic - Cattle
603,Republic of Korea,LSD,2023-11-06,38.272405,128.1194,Domestic - Cattle
604,Russian Federation,LSD,2023-11-14,57.97232,53.772702,Domestic - Cattle
605,Republic of Korea,LSD,2023-11-06,37.130711,126.994883,Domestic - Cattle
606,Republic of Korea,LSD,2023-11-06,36.683,126.416011,Domestic - Cattle
607,Republic of Korea,LSD,2023-11-06,37.392252,127.560502,Domestic - Cattle
608,Republic of Korea,LSD,2023-10-28,37.814938,126.748441,Domestic - Cattle
609,Republic of Korea,LSD,2023-10-28,37.959702,126.908441,Domestic - Cattle
610,Republic of Korea,LSD,2023-10-28,36.204263,127.025036,Domestic - Cattle
611,Republic of Korea,LSD,2023-10-28,36.812819,126.968483,Domestic - Cattle
612,Republic of Korea,LSD,2023-10-27,38.085883,127.015455,Domestic - Cattle
613,Republic of Korea,LSD,2023-10-27,38.047613,127.06018,Domestic - Cattle
614,Republic of Korea,LSD,2023-10-27,37.498383,128.1002,Domestic - Cattle
615,Republic of Korea,LSD,2023-10-27,37.0547,126.767905,Domestic - Cattle
616,Republic of Korea,LSD,2023-10-27,36.738166,126.416394,Domestic - Cattle
617,Republic of Korea,LSD,2023-10-27,37.794813,126.371544,Domestic - Cattle
618,Republic of Korea,LSD,2023-10-27,37.755275,126.416438,Domestic - Cattle
619,Republic of Korea,LSD,2023-10-27,37.77528,126.429091,Domestic - Cattle
620,Libya,LSD,2023-11-02,32.842265,21.521516,Domestic - Cattle
621,Thailand,LSD,2023-11-09,15.130649,102.65605,Domestic - Cattle
622,Republic of Korea,LSD,2023-10-26,35.682438,126.760238,Domestic - Cattle
623,Republic of Korea,LSD,2023-10-26,37.606269,126.566202,Domestic - Cattle
624,Republic of Korea,LSD,2023-10-26,37.066369,126.781302,Domestic - Cattle
625,Republic of Korea,LSD,2023-10-26,37.129344,127.054363,Domestic - Cattle
626,Republic of Korea,LSD,2023-10-27,37.749658,126.615613,Domestic - Cattle
627,Republic of Korea,LSD,2023-10-26,37.12,126.77,Domestic - Cattle
628,Republic of Korea,LSD,2023-10-26,36.57138,126.491755,Domestic - Cattle
629,Republic of Korea,LSD,2023-10-26,37.787913,126.4555,Domestic - Cattle
630,Republic of Korea,LSD,2023-10-26,37.116155,126.773105,Domestic - Cattle
631,Republic of Korea,LSD,2023-10-26,36.673652,126.399255,Domestic - Cattle
632,Republic of Korea,LSD,2023-10-26,36.855958,126.7675,Domestic - Cattle
633,Libya,LSD,2023-11-02,32.842265,21.521516,Domestic - Cattle
634,Republic of Korea,LSD,2023-10-26,37.218425,126.723886,Domestic - Cattle
635,Republic of Korea,LSD,2023-10-26,36.665158,126.413727,Domestic - Cattle
636,Republic of Korea,LSD,2023-10-26,36.871591,126.772041,Domestic - Cattle
637,Republic of Korea,LSD,2023-10-26,36.861511,126.766563,Domestic - Cattle
638,Republic of Korea,LSD,2023-10-26,36.870933,126.775405,Domestic - Cattle
639,Republic of Korea,LSD,2023-10-26,36.838361,126.764716,Domestic - Cattle
640,Republic of Korea,LSD,2023-10-26,37.327564,127.013501,Domestic - Cattle
641,Republic of Korea,LSD,2023-10-26,37.629455,126.408363,Domestic - Cattle
642,Republic of Korea,LSD,2023-10-26,37.801605,126.390163,Domestic - Cattle
643,Republic of Korea,LSD,2023-10-26,37.779772,126.395863,Domestic - Cattle
644,Republic of Korea,LSD,2023-10-26,36.684625,126.410291,Domestic - Cattle
645,Republic of Korea,LSD,2023-10-26,38.057969,128.01453,Domestic - Cattle
646,Republic of Korea,LSD,2023-10-26,37.103297,127.0117,Domestic - Cattle
647,Republic of Korea,LSD,2023-10-26,37.115341,126.788505,Domestic - Cattle
648,Republic of Korea,LSD,2023-10-26,36.663986,126.412833,Domestic - Cattle
649,Republic of Korea,LSD,2023-10-26,37.749127,126.614631,Domestic - Cattle
650,Republic of Korea,LSD,2023-10-25,36.865669,127.642916,Domestic - Cattle
651,Republic of Korea,LSD,2023-10-26,36.86598,126.787994,Domestic - Cattle
652,Republic of Korea,LSD,2023-10-25,37.0109814,126.879741,Domestic - Cattle
653,Republic of Korea,LSD,2023-10-26,36.680193,126.418639,Domestic - Cattle
654,Republic of Korea,LSD,2023-10-25,36.950291,126.300984,Domestic - Cattle
655,Republic of Korea,LSD,2023-10-26,36.684021,126.410924,Domestic - Cattle
656,Republic of Korea,LSD,2023-10-22,37.7487302,126.639823,Domestic - Cattle
657,Republic of Korea,LSD,2023-10-25,36.6740176,126.42165,Domestic - Cattle
658,Republic of Korea,LSD,2023-10-22,36.8666542,126.789579,Domestic - Cattle
659,Republic of Korea,LSD,2023-10-22,37.046364,126.980418,Domestic - Cattle
660,Republic of Korea,LSD,2023-10-22,36.6622973,126.405866,Domestic - Cattle
661,Republic of Korea,LSD,2023-10-22,36.673316,126.418322,Domestic - Cattle
662,Thailand,LSD,2023-11-09,15.208794,100.226376,Domestic - Cattle
663,Russian Federation,LSD,2023-10-24,57.888,52.4057,Domestic - Cattle
664,Russian Federation,LSD,2023-10-24,57.948653,52.143357,Domestic - Cattle
665,Russian Federation,LSD,2023-10-16,54.227412,90.844981,Domestic - Cattle
666,Russian Federation,LSD,2023-10-16,50.184043,127.740343,Domestic - Cattle
667,Thailand,LSD,2023-11-09,13.76993,100.845606,Domestic - Cattle
668,Thailand,LSD,2023-09-26,13.787924,101.465301,Domestic - Cattle
669,Thailand,LSD,2023-09-26,17.132973,101.689352,Domestic - Cattle
670,Thailand,LSD,2023-09-26,17.841136,102.782875,Domestic - Cattle
671,Thailand,LSD,2023-09-26,17.696765,102.63302,Domestic - Cattle
672,Israel,LSD,2023-08-08,31.585683,34.555259,Domestic - Cattle
673,Bhutan,LSD,2023-08-10,27.7831,89.6604,Domestic - Cattle
674,Bhutan,LSD,2023-08-10,27.5732,90.6778,Domestic - Cattle
675,Libya,LSD,2023-07-17,32.696087,12.925243,Domestic - Cattle
676,Thailand,LSD,2023-09-26,16.177855,104.024525,Domestic - Cattle
677,Libya,LSD,2023-07-20,32.700175,12.696102,Domestic - Cattle
678,Israel,LSD,2023-06-28,31.715919,34.634528,Domestic - Cattle
679,Libya,LSD,2023-07-20,32.7423,12.72952,Domestic - Cattle
680,Libya,LSD,2023-07-20,32.726325,12.734119,Domestic - Cattle
681,Israel,LSD,2023-06-28,31.855286,34.758343,Domestic - Cattle
682,Bhutan,LSD,2023-08-10,27.4801,91.0703,Domestic - Cattle
683,Libya,LSD,2023-06-11,32.726504,13.141307,Domestic - Cattle
684,Libya,LSD,2023-07-17,32.444639,13.034652,Domestic - Cattle
685,Israel,LSD,2023-05-30,31.471743,34.496073,Domestic - Cattle
686,Libya,LSD,2023-06-11,32.769804,13.052842,Domestic - Cattle
687,Bhutan,LSD,2023-08-10,27.4349,91.5695,Domestic - Cattle
688,Libya,LSD,2023-06-10,32.783367,13.062138,Domestic - Cattle
689,Libya,LSD,2023-07-17,32.711592,12.934867,Domestic - Cattle
690,Libya,LSD,2023-07-17,32.696087,12.925243,Domestic - Cattle
691,Bhutan,LSD,2023-08-10,27.2912,90.5757,Domestic - Cattle
692,Libya,LSD,2023-07-17,32.711592,12.932756,Domestic - Cattle
693,Bhutan,LSD,2023-08-10,27.2255,91.4863,Domestic - Cattle
694,Bhutan,LSD,2023-08-10,27.3652,89.5679,Domestic - Cattle
695,Bhutan,LSD,2023-08-10,27.5415,89.7991,Domestic - Cattle
696,Bhutan,LSD,2023-08-10,27.2543,90.1735,Domestic - Cattle
697,Bhutan,LSD,2023-08-10,27.246,89.3738,Domestic - Cattle
698,Bhutan,LSD,2023-08-10,27.098,89.1011,Domestic - Cattle
699,Bhutan,LSD,2023-08-10,27.061,91.1443,Domestic - Cattle
700,Bhutan,LSD,2023-08-10,26.8426,91.2182,Domestic - Cattle
701,Bhutan,LSD,2023-08-10,26.8549,90.8253,Domestic - Cattle
702,Bhutan,LSD,2023-08-10,26.7435,89.8129,Domestic - Cattle
703,Bhutan,LSD,2023-08-10,26.8591,90.1781,Domestic - Cattle
704,Bhutan,LSD,2023-08-10,26.8261,89.494,Domestic - Cattle
705,Bhutan,LSD,2023-08-10,26.892,90.0857,Domestic - Cattle
706,Bhutan,LSD,2023-08-10,27.02274,91.807151,Domestic - Cattle
707,Bhutan,LSD,2023-08-10,26.884638,89.131602,Domestic - Cattle
708,Indonesia,LSD,2023-01-27,3.913,97.125,Domestic - Cattle
709,Indonesia,LSD,2023-01-27,-3.602,102.469403,Domestic - Cattle
710,Indonesia,LSD,2023-01-27,-7.873252,110.413375,Domestic - Cattle
711,Indonesia,LSD,2023-01-27,-6.864,107.617,Domestic - Cattle
712,Indonesia,LSD,2023-01-27,-0.790209,100.876,Domestic - Cattle
713,Indonesia,LSD,2023-01-27,2.27,99.259,Domestic - Cattle
714,Russian Federation,LSD,2022-09-28,50.812823,92.68106,Domestic - Cattle
715,India,LSD,2022-09-02,24.971,77.363,Domestic - Cattle
716,Mongolia,LSD,2022-08-24,47.636288,118.61074,Domestic - Cattle
717,Mongolia,LSD,2022-08-24,47.209248,118.529452,Domestic - Cattle
718,Cambodia,LSD,2022-08-03,12.210822,106.877601,Domestic - Cattle
719,Mongolia,LSD,2022-08-24,47.879238,117.931328,Domestic - Cattle
720,Russian Federation,LSD,2022-07-28,50.3101,97.4554,Domestic - Cattle
721,Russian Federation,LSD,2022-07-28,50.199331,95.5693,Domestic - Cattle
722,Cambodia,LSD,2022-07-13,11.935,105.388,Domestic - Cattle
723,Cambodia,LSD,2022-06-26,12.25,105.784,Domestic - Cattle
724,Cambodia,LSD,2022-06-26,10.827872,104.84604,Domestic - Cattle
725,India,LSD,2022-09-02,31.067,77.081,Domestic - Cattle
726,Mongolia,LSD,2022-08-24,48.022044,115.162029,Domestic - Cattle
727,Viet Nam,LSD,2022-06-27,21.14,104.168,Domestic - Cattle
728,Viet Nam,LSD,2022-06-28,12.1217,109.0949,Domestic - Cattle
729,Viet Nam,LSD,2022-06-28,12.3488,107.7956,Domestic - Cattle
730,Cambodia,LSD,2022-06-13,10.828294,104.84003,Domestic - Cattle
731,Viet Nam,LSD,2022-06-28,12.2011,109.0305,Domestic - Cattle
732,Viet Nam,LSD,2022-06-28,22.8742,105.3776,Domestic - Cattle
733,Viet Nam,LSD,2022-06-28,12.5755,107.8462,Domestic - Cattle
734,Cambodia,LSD,2022-06-26,10.726,104.814,Domestic - Cattle
735,Viet Nam,LSD,2022-06-28,12.2842,107.9294,Domestic - Cattle
736,Afghanistan,LSD,2022-06-17,35.5411,70.0862,Domestic - Cattle
737,Cambodia,LSD,2022-06-13,10.73152,104.819172,Domestic - Cattle
738,Malaysia,LSD,2023-01-08,6.362,100.226,Domestic - Cattle
739,Thailand,LSD,2022-05-18,13.3896,102.0776,Domestic - Cattle
740,Thailand,LSD,2022-05-18,13.93676,102.34258,Domestic - Buffaloe | Domestic - Cattle
741,Thailand,LSD,2022-05-18,16.22402,100.6079,Domestic - Cattle
742,Thailand,LSD,2022-05-18,17.3489,102.0553,Domestic - Cattle | Domestic - Buffaloe
743,Cambodia,LSD,2022-03-29,11.893,105.44,Domestic - Cattle
744,Viet Nam,LSD,2022-06-28,15.0507,108.8366,Domestic - Cattle
745,Singapore,LSD,2022-03-12,1.44011,103.70929,Domestic - Cattle
746,Viet Nam,LSD,2022-06-28,15.024,108.83,Domestic - Cattle
747,Pakistan,LSD,2022-04-13,26.21,68.51,Domestic - Cattle
748,Viet Nam,LSD,2022-06-28,15.1289,108.6913,Domestic - Cattle
749,Cambodia,LSD,2022-03-20,11.472,105.8,Domestic - Buffaloe | Domestic - Cattle
750,Malaysia,LSD,2023-01-08,2.683,102.63,Domestic - Cattle
751,Viet Nam,LSD,2022-06-28,15.1846,108.6294,Domestic - Cattle
752,Malaysia,LSD,2023-01-08,3.774,100.986,Domestic - Cattle
753,Russian Federation,LSD,2022-02-11,50.517803,128.874026,Domestic - Cattle
754,Indonesia,LSD,2022-03-02,-0.406,102.505,Domestic - Cattle
755,Russian Federation,LSD,2022-01-27,51.075,107.153,Domestic - Cattle
756,Russian Federation,LSD,2022-01-18,55.382,52.482,Domestic - Cattle
757,Russian Federation,LSD,2022-01-11,51.750977,107.387634,Domestic - Cattle
758,Russian Federation,LSD,2022-01-11,51.657001,106.817484,Domestic - Cattle
759,Malaysia,LSD,2022-06-09,4.192692,101.98385,Domestic - Cattle
